	input	category	prediction
12	The banana was blessed by the dog .	active_to_passive	* banana ( 29 ) ; * dog ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
13	The cake was blessed by a cat .	active_to_passive	* cake ( 29 ) ; cat ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
14	A shoe was blessed .	active_to_passive	* shoe ( 29 ) ; bless ( 12 ) AND theme ( 12 , 29 )
15	The box was blessed by Benjamin .	active_to_passive	* box ( 12 ) ; Benjamin ( 29 ) ; bless ( 45 ) AND theme ( 45 , 12 ) AND agent ( 45 , 29 )
16	A melon was blessed by a goose .	active_to_passive	melon ( 29 ) ; goose ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
17	Aria respected that the liver was blessed by Emma .	active_to_passive	Aria ( 12 ) ; * liver ( 29 ) ; Emma ( 34 ) ; respect ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 18 ) AND bless ( 18 ) AND theme ( 18 , 29 ) AND agent ( 18 , 34 )
18	The cake was blessed by Emma .	active_to_passive	* cake ( 29 ) ; Emma ( 10 ) ; bless ( 15 ) AND theme ( 15 , 29 ) AND agent ( 15 , 10 )
19	A rose was blessed by a boy .	active_to_passive	rose ( 29 ) ; boy ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
20	Emma believed that a student liked that a chicken valued that the child proved that Jacob believed that a boy believed that a duck burned a cake .	cp_recursion	Emma ( 10 ) ; student ( 25 ) ; chicken ( 46 ) ; child ( 18 ) ; Jacob ( 29 ) ; boy ( 42 ) ; duck ( 33 ) ; cake ( 54 ) ; believe ( 1 ) AND agent ( 1 , 10 ) AND ccomp ( 1 , 12 ) AND like ( 12 ) AND agent ( 12 , 25 ) AND ccomp ( 12 , 20 ) AND value ( 20 ) AND agent ( 20 , 46 ) AND ccomp ( 20 , 27 ) AND prove ( 27 ) AND agent ( 27 , 18 ) AND ccomp ( 27 , 36 ) AND believe (
21	A chicken believed that Ellie liked that Olivia expected that a boy admired that a cat valued that Emma appreciated that Liam hoped that Ava said that Isaac liked that a creature declared that the dog liked that a cake was fed to a girl .	cp_recursion	chicken ( 12 ) ; Ellie ( 34 ) ; Olivia ( 45 ) ; boy ( 23 ) ; cat ( 19 ) ; Emma ( 10 ) ; Liam ( 27 ) ; Ava ( 56 ) ; Isaac ( 39 ) ; creature ( 5 ) ; dog ( 8 ) ; cake ( 14 ) ; girl ( 36 ) ; like ( 1 ) AND agent ( 1 , 12 ) AND ccomp ( 1 , 2 ) AND believe ( 2 ) AND agent ( 2 , 12 ) AND ccomp ( 2 , 3 ) AND like ( 3 ) AND agent ( 3 , 34 ) AND ccomp ( 3 ,
22	The pig liked that Levi liked that the dog supported that Sophia wished that the girl imagined that the cat liked that the baby liked that Logan noticed that the president meant that Emma admired that a horse passed the donut on a carpet on a table to Olivia .	cp_recursion	The pig ( 12 ) ; Levi ( 34 ) ; dog ( 8 ) ; Sophia ( 19 ) ; girl ( 27 ) ; cat ( 43 ) ; baby ( 56 ) ; Logan ( 22 ) ; president ( 29 ) ; Emma ( 10 ) ; horse ( 14 ) ; donut ( 5 ) ; carpet ( 38 ) ; table ( 45 ) ; Olivia ( 24 ) ; like ( 1 ) AND agent ( 1 , 12 ) AND ccomp ( 1 , 2 ) AND like ( 2 ) AND agent ( 2 , 34 ) AND ccomp ( 2 , 3 ) AND support ( 3 ) AND agent (
23	Henry said that a cat believed that Lucas noticed that the baby respected that a boy liked that Emma hoped that a child liked that Leah admired that a girl was fed a jar in the house by Noah .	cp_recursion	Henry ( 12 ) ; cat ( 34 ) ; Lucas ( 27 ) ; baby ( 19 ) ; boy ( 43 ) ; Emma ( 56 ) ; child ( 22 ) ; Leah ( 10 ) ; girl ( 29 ) ; jar ( 38 ) ; house ( 45 ) ; Noah ( 50 ) ; like ( 11 ) AND agent ( 11 , 12 ) AND ccomp ( 11 , 18 ) AND believe ( 18 ) AND agent ( 18 , 34 ) AND ccomp ( 18 , 25 ) AND notice ( 25 ) AND agent ( 25 , 27 ) AND ccomp ( 25 , 32 ) AND respect (
24	The boy meant that the poet liked that a squirrel proved that William respected that a bird hoped that Hannah hoped that Liam liked that the cake changed .	cp_recursion	The boy ( 12 ) ; poet ( 25 ) ; squirrel ( 30 ) ; William ( 40 ) ; bird ( 18 ) ; Hannah ( 22 ) ; Liam ( 35 ) ; cake ( 46 ) ; like ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 15 ) AND like ( 15 ) AND agent ( 15 , 25 ) AND ccomp ( 15 , 20 ) AND prove ( 20 ) AND agent ( 20 , 30 ) AND ccomp ( 20 , 28 ) AND respect ( 28 ) AND agent ( 28 , 40 ) AND ccomp ( 28 , 33 ) AND hope
25	Emma thought that Olivia noticed that James noticed that the duke liked that Mila meant that Natalie said that a teacher noticed that Noah hoped that Amelia proved that Audrey liked that a donut was painted by a student .	cp_recursion	Emma ( 10 ) ; Olivia ( 12 ) ; James ( 14 ) ; duke ( 16 ) ; Mila ( 18 ) ; Natalie ( 20 ) ; teacher ( 22 ) ; Noah ( 24 ) ; Amelia ( 26 ) ; Audrey ( 28 ) ; donut ( 30 ) ; student ( 32 ) ; hope ( 34 ) AND think ( 1 ) AND agent ( 1 , 10 ) AND ccomp ( 1 , 36 ) AND notice ( 36 ) AND agent ( 36 , 12 ) AND ccomp ( 36 , 44 ) AND notice ( 44 ) AND agent ( 44 , 14 ) AND ccomp ( 44 ,
26	Emma liked that the lion liked that Abigail said that Sebastian liked that Matthew hoped that the donut burned .	cp_recursion	Emma ( 10 ) ; lion ( 22 ) ; Abigail ( 34 ) ; Sebastian ( 46 ) ; Matthew ( 58 ) ; donut ( 19 ) ; like ( 1 ) AND agent ( 1 , 10 ) AND ccomp ( 1 , 12 ) AND like ( 12 ) AND agent ( 12 , 22 ) AND ccomp ( 12 , 18 ) AND say ( 18 ) AND agent ( 18 , 34 ) AND ccomp ( 18 , 24 ) AND like ( 24 ) AND agent ( 24 , 46 ) AND ccomp ( 24 , 30 ) AND hope ( 30 ) AND agent ( 30 , 58 )
27	A boy confessed that the professor imagined that Jacob liked that a girl liked that Liam respected that Ava wanted to sleep .	cp_recursion	A boy ( 12 ) ; professor ( 27 ) ; Jacob ( 34 ) ; girl ( 45 ) ; Liam ( 50 ) ; Ava ( 56 ) ; sleep ( 8 ) ; like ( 19 ) AND confess ( 1 ) AND agent ( 1 , 12 ) AND ccomp ( 1 , 2 ) AND imagine ( 2 ) AND agent ( 2 , 27 ) AND ccomp ( 2 , 3 ) AND like ( 3 ) AND agent ( 3 , 34 ) AND ccomp ( 3 , 4 ) AND like ( 4 ) AND agent ( 4 , 45 ) AND ccomp ( 4 , 5 ) AND respect
28	Olivia admired that Sophia hoped that Noah expected that the rose was rolled by Emma .	cp_recursion	Olivia ( 12 ) ; Sophia ( 25 ) ; Noah ( 30 ) ; rose ( 18 ) ; Emma ( 43 ) ; admire ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 10 ) AND hope ( 10 ) AND agent ( 10 , 25 ) AND ccomp ( 10 , 15 ) AND expect ( 15 ) AND agent ( 15 , 30 ) AND ccomp ( 15 , 22 ) AND roll ( 22 ) AND theme ( 22 , 18 ) AND agent ( 22 , 43 )
29	The scientist declared that William said that Daniel liked that the game was eaten by Aria .	cp_recursion	scientist ( 12 ) ; William ( 34 ) ; Daniel ( 25 ) ; game ( 18 ) ; Aria ( 40 ) ; like ( 46 ) AND agent ( 46 , 25 ) AND ccomp ( 46 , 28 ) AND declare ( 28 ) AND agent ( 28 , 12 ) AND ccomp ( 28 , 14 ) AND say ( 14 ) AND agent ( 14 , 34 ) AND ccomp ( 14 , 19 ) AND eat ( 19 ) AND theme ( 19 , 18 ) AND agent ( 19 , 40 )
30	Olivia admired that a girl liked that Ava said that a bee admired that the citizen noticed that William noticed that Noah hoped that Liam confessed that Emma hoped that Lucas appreciated that the tool froze .	cp_recursion	Olivia ( 12 ) ; girl ( 30 ) ; Ava ( 45 ) ; bee ( 19 ) ; citizen ( 23 ) ; William ( 39 ) ; Noah ( 50 ) ; Liam ( 54 ) ; Emma ( 10 ) ; Lucas ( 27 ) ; tool ( 36 ) ; * freeze ( 4 ) ; admire ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 18 ) AND like ( 18 ) AND agent ( 18 , 30 ) AND ccomp ( 18 , 28 ) AND say ( 28 ) AND agent ( 28 , 45 ) AND ccomp ( 28 , 44 ) AND admire
31	Elizabeth liked that the girl hoped that Liam thought that a mouse said that a teacher liked that Isabella liked that Emma floated .	cp_recursion	Elizabeth ( 12 ) ; girl ( 30 ) ; Liam ( 45 ) ; mouse ( 18 ) ; teacher ( 23 ) ; Isabella ( 39 ) ; Emma ( 50 ) ; like ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 10 ) AND hope ( 10 ) AND agent ( 10 , 30 ) AND ccomp ( 10 , 15 ) AND think ( 15 ) AND agent ( 15 , 45 ) AND ccomp ( 15 , 20 ) AND say ( 20 ) AND agent ( 20 , 18 ) AND ccomp ( 20 , 25 ) AND like ( 25 ) AND agent (
32	A dog confessed that a child said that James said that Victoria hoped that the goose expected that the guard declared that the puppy valued that Benjamin valued that Liam said that the boy believed that a girl noticed that Olivia changed Emma .	cp_recursion	A dog ( 12 ) ; child ( 34 ) ; James ( 45 ) ; Victoria ( 50 ) ; goose ( 27 ) ; guard ( 19 ) ; puppy ( 22 ) ; Benjamin ( 36 ) ; Liam ( 40 ) ; boy ( 5 ) ; girl ( 11 ) ; Olivia ( 33 ) ; Emma ( 39 ) ; confess ( 8 ) AND agent ( 8 , 12 ) AND ccomp ( 8 , 14 ) AND say ( 14 ) AND agent ( 14 , 34 ) AND ccomp ( 14 , 18 ) AND say ( 18 ) AND agent ( 18 , 45 ) AND ccomp ( 18 ,
33	Emma believed that the citizen wished that the chicken thought that a girl liked that a butterfly rolled .	cp_recursion	Emma ( 10 ) ; citizen ( 27 ) ; chicken ( 43 ) ; girl ( 56 ) ; butterfly ( 34 ) ; * roll ( 19 ) ; like ( 12 ) AND believe ( 1 ) AND agent ( 1 , 10 ) AND ccomp ( 1 , 18 ) AND wish ( 18 ) AND agent ( 18 , 27 ) AND ccomp ( 18 , 28 ) AND think ( 28 ) AND agent ( 28 , 43 ) AND ccomp ( 28 , 36 ) AND like ( 36 ) AND agent ( 36 , 56 ) AND theme ( 36 , 12 ) AND roll ( 12 ) AND theme (
34	A cat liked that Luna hoped that Emma liked that Olivia liked that Liam appreciated that the bear floated .	cp_recursion	cat ( 12 ) ; Luna ( 25 ) ; Emma ( 30 ) ; Olivia ( 18 ) ; Liam ( 41 ) ; bear ( 8 ) ; like ( 14 ) AND agent ( 14 , 12 ) AND ccomp ( 14 , 20 ) AND hope ( 20 ) AND agent ( 20 , 25 ) AND ccomp ( 20 , 27 ) AND like ( 27 ) AND agent ( 27 , 30 ) AND ccomp ( 27 , 34 ) AND like ( 34 ) AND agent ( 34 , 18 ) AND ccomp ( 34 , 39 ) AND appreciate ( 39 ) AND agent ( 39 , 41 )
35	The judge liked that Emma declared that a patient said that Isabella believed that Liam hoped that Olivia liked that the child liked that a girl hoped that Oliver liked that the king was given a cake .	cp_recursion	judge ( 12 ) ; Emma ( 10 ) ; patient ( 18 ) ; Isabella ( 25 ) ; Liam ( 43 ) ; Olivia ( 11 ) ; child ( 36 ) ; girl ( 30 ) ; Oliver ( 5 ) ; king ( 19 ) ; cake ( 24 ) ; like ( 1 ) AND agent ( 1 , 12 ) AND ccomp ( 1 , 2 ) AND declare ( 2 ) AND agent ( 2 , 10 ) AND ccomp ( 2 , 3 ) AND say ( 3 ) AND agent ( 3 , 18 ) AND ccomp ( 3 , 4 ) AND believe ( 4 ) AND agent (
36	The fly confessed that the cat admired that the customer wished that a priest believed that the baby liked that the bottle was given to a horse by the father .	cp_recursion	* fly ( 12 ) ; cat ( 34 ) ; customer ( 27 ) ; priest ( 19 ) ; baby ( 45 ) ; bottle ( 50 ) ; horse ( 56 ) ; father ( 22 ) ; admire ( 40 ) AND agent ( 40 , 34 ) AND ccomp ( 40 , 46 ) AND wish ( 46 ) AND agent ( 46 , 27 ) AND ccomp ( 46 , 52 ) AND believe ( 52 ) AND agent ( 52 , 19 ) AND ccomp ( 52 , 58 ) AND like ( 58 ) AND agent ( 58 , 45 ) AND ccomp ( 58 , 60 ) AND give
37	The bear admired that a bird liked that Emma liked that the child proved that Liam liked that Isabella liked that the dog said that Avery hoped that Leah proved that the boy liked that the girl tolerated that a cake froze .	cp_recursion	bear ( 12 ) ; bird ( 34 ) ; Emma ( 45 ) ; child ( 50 ) ; Liam ( 23 ) ; Isabella ( 56 ) ; dog ( 8 ) ; Avery ( 19 ) ; Leah ( 27 ) ; boy ( 40 ) ; girl ( 11 ) ; cake ( 5 ) ; * frozen ( 18 ) ; admire ( 3 ) AND agent ( 3 , 12 ) AND ccomp ( 3 , 4 ) AND like ( 4 ) AND agent ( 4 , 34 ) AND ccomp ( 4 , 5 ) AND like ( 5 ) AND agent ( 5 , 45 ) AND ccomp ( 5 ,
38	Emma liked that Ella liked that Liam respected that Oliver noticed that a girl imagined that Bella meant that Ava said that a hero was awarded the cake on the truck in the crib in the room .	cp_recursion	Emma ( 10 ) ; Ella ( 12 ) ; Liam ( 14 ) ; Oliver ( 16 ) ; girl ( 18 ) ; Bella ( 20 ) ; Ava ( 22 ) ; hero ( 24 ) ; cake ( 26 ) ; truck ( 28 ) ; crib ( 30 ) ; room ( 32 ) ; like ( 34 ) AND agent ( 34 , 10 ) AND ccomp ( 34 , 38 ) AND like ( 38 ) AND agent ( 38 , 12 ) AND ccomp ( 38 , 42 ) AND respect ( 42 ) AND agent ( 42 , 14 ) AND ccomp ( 42 , 46 ) AND notice (
39	Levi liked that Emma declared that the girl wished that a lawyer liked that the turtle imagined that a monkey liked that Charlotte ate .	cp_recursion	Levi ( 12 ) ; Emma ( 10 ) ; girl ( 25 ) ; lawyer ( 38 ) ; turtle ( 44 ) ; monkey ( 19 ) ; Charlotte ( 30 ) ; eat ( 33 ) ; like ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 18 ) AND declare ( 18 ) AND agent ( 18 , 10 ) AND ccomp ( 18 , 27 ) AND wish ( 27 ) AND agent ( 27 , 25 ) AND ccomp ( 27 , 36 ) AND like ( 36 ) AND agent ( 36 , 38 ) AND ccomp ( 36 , 45 ) AND imagine
40	Noah teleported a lollipop beside the box to a girl .	do_dative_to_pp_dative	Noah ( 12 ) ; lollipop ( 25 ) ; box ( 39 ) ; girl ( 44 ) ; teleport ( 18 ) AND agent ( 18 , 12 ) AND theme ( 18 , 25 ) AND recipient ( 18 , 44 ) AND nmod . beside ( 25 , 39 )
41	The girl teleported the donut in the house to the cat .	do_dative_to_pp_dative	* girl ( 29 ) ; * donut ( 12 ) ; * house ( 36 ) ; cat ( 45 ) ; teleport ( 50 ) AND agent ( 50 , 29 ) AND theme ( 50 , 12 ) AND nmod . in ( 12 , 36 ) AND recipient ( 50 , 45 )
42	Emma teleported a cake to a dog .	do_dative_to_pp_dative	Emma ( 10 ) ; cake ( 24 ) ; dog ( 36 ) ; teleport ( 19 ) AND agent ( 19 , 10 ) AND theme ( 19 , 24 ) AND recipient ( 19 , 36 )
43	Olivia teleported a mandarin to the cat .	do_dative_to_pp_dative	Olivia ( 12 ) ; mandarin ( 29 ) ; cat ( 20 ) ; teleport ( 45 ) AND agent ( 45 , 12 ) AND theme ( 45 , 29 ) AND recipient ( 45 , 20 )
44	The cat teleported a crown on a table to Emma .	do_dative_to_pp_dative	cat ( 12 ) ; crown ( 25 ) ; Emma ( 34 ) ; * table ( 19 ) ; teleport ( 40 ) AND theme ( 40 , 25 ) AND recipient ( 40 , 34 ) AND nmod . on ( 25 , 19 ) AND agent ( 40 , 12 )
45	The child teleported the glue on a tree to Olivia .	do_dative_to_pp_dative	child ( 29 ) ; glue ( 12 ) ; tree ( 45 ) ; Olivia ( 34 ) ; teleport ( 18 ) AND agent ( 18 , 29 ) AND theme ( 18 , 12 ) AND nmod . on ( 12 , 45 ) AND recipient ( 18 , 34 )
46	Joshua teleported the cookie beside the box to a girl .	do_dative_to_pp_dative	Joshua ( 12 ) ; cookie ( 25 ) ; box ( 18 ) ; girl ( 30 ) ; teleport ( 40 ) AND agent ( 40 , 12 ) AND theme ( 40 , 25 ) AND nmod . beside ( 25 , 18 ) AND recipient ( 40 , 30 )
47	A monkey teleported the cake to Ava .	do_dative_to_pp_dative	monkey ( 12 ) ; cake ( 25 ) ; Ava ( 34 ) ; teleport ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 25 ) AND recipient ( 19 , 34 )
48	The dog teleported a cookie on a table to Harper .	do_dative_to_pp_dative	* dog ( 12 ) ; cookie ( 25 ) ; Harper ( 34 ) ; * table ( 19 ) ; nmod . on ( 25 , 19 ) AND teleport ( 40 ) AND agent ( 40 , 12 ) AND theme ( 40 , 25 ) AND recipient ( 40 , 34 )
49	Liam teleported the cookie in a car to a boy .	do_dative_to_pp_dative	Liam ( 12 ) ; cookie ( 25 ) ; boy ( 34 ) ; * car ( 19 ) ; teleport ( 40 ) AND agent ( 40 , 12 ) AND theme ( 40 , 25 ) AND recipient ( 40 , 34 ) AND nmod . in ( 25 , 19 )
50	Liam teleported the box beside the stage to a tourist .	do_dative_to_pp_dative	Liam ( 12 ) ; * box ( 34 ) ; * stage ( 19 ) ; tourist ( 27 ) ; teleport ( 45 ) AND agent ( 45 , 12 ) AND theme ( 45 , 34 ) AND nmod . beside ( 34 , 19 ) AND recipient ( 45 , 27 )
51	Sophia teleported the cake on a table to a girl .	do_dative_to_pp_dative	Sophia ( 12 ) ; cake ( 25 ) ; girl ( 30 ) ; * table ( 18 ) ; nmod . on ( 25 , 18 ) AND teleport ( 44 ) AND agent ( 44 , 12 ) AND theme ( 44 , 25 ) AND recipient ( 44 , 30 )
52	Julian teleported the cookie beside the table to a girl .	do_dative_to_pp_dative	Julian ( 12 ) ; cookie ( 25 ) ; girl ( 34 ) ; * table ( 19 ) ; nmod . beside ( 25 , 19 ) AND teleport ( 40 ) AND agent ( 40 , 12 ) AND theme ( 40 , 25 ) AND recipient ( 40 , 34 )
53	Emma teleported the potato beside the stool to the girl .	do_dative_to_pp_dative	Emma ( 10 ) ; * potato ( 18 ) ; * stool ( 25 ) ; girl ( 36 ) ; nmod . beside ( 18 , 25 ) AND teleport ( 43 ) AND agent ( 43 , 10 ) AND theme ( 43 , 18 ) AND recipient ( 43 , 36 )
54	The lawyer hoped that the tourist believed that Ava teleported the cake beside the table to the girl .	do_dative_to_pp_dative	lawyer ( 12 ) ; tourist ( 27 ) ; Ava ( 34 ) ; cake ( 19 ) ; girl ( 45 ) ; table ( 50 ) ; nmod . beside ( 19 , 50 ) ; hope ( 6 ) AND agent ( 6 , 12 ) AND ccomp ( 6 , 18 ) AND believe ( 18 ) AND agent ( 18 , 27 ) AND ccomp ( 18 , 24 ) AND teleport ( 24 ) AND theme ( 24 , 19 ) AND agent ( 24 , 34 ) AND recipient ( 24 , 45 )
55	Emma teleported the donut to Benjamin .	do_dative_to_pp_dative	Emma ( 10 ) ; donut ( 24 ) ; Benjamin ( 32 ) ; teleport ( 15 ) AND agent ( 15 , 10 ) AND theme ( 15 , 24 ) AND recipient ( 15 , 32 )
56	Luna teleported a cake to Sophia .	do_dative_to_pp_dative	Luna ( 12 ) ; cake ( 25 ) ; Sophia ( 30 ) ; teleport ( 18 ) AND agent ( 18 , 12 ) AND theme ( 18 , 25 ) AND recipient ( 18 , 30 )
57	The boy teleported a newspaper beside a road to the mouse .	do_dative_to_pp_dative	* boy ( 12 ) ; newspaper ( 25 ) ; * road ( 38 ) ; mouse ( 44 ) ; teleport ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 25 ) AND nmod . beside ( 25 , 38 ) AND recipient ( 19 , 44 )
58	Emma teleported the cake in a room to the boy .	do_dative_to_pp_dative	Emma ( 10 ) ; cake ( 24 ) ; boy ( 36 ) ; * room ( 18 ) ; teleport ( 43 ) AND agent ( 43 , 10 ) AND theme ( 43 , 24 ) AND recipient ( 43 , 36 ) AND nmod . in ( 24 , 18 )
59	Liam teleported the raisin to a baby .	do_dative_to_pp_dative	Liam ( 29 ) ; raisin ( 12 ) ; baby ( 45 ) ; teleport ( 36 ) AND agent ( 36 , 29 ) AND theme ( 36 , 12 ) AND recipient ( 36 , 45 )
60	A cat baked a girl on the desk .	obj_omitted_transitive_to_transitive	cat ( 12 ) ; girl ( 34 ) ; * desk ( 19 ) ; nmod . on ( 34 , 19 ) AND bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
61	Natalie respected that the girl baked the box .	obj_omitted_transitive_to_transitive	Natalie ( 12 ) ; girl ( 25 ) ; box ( 39 ) ; respect ( 8 ) AND agent ( 8 , 12 ) AND ccomp ( 8 , 15 ) AND bake ( 15 ) AND theme ( 15 , 39 ) AND agent ( 15 , 25 )
62	Emma baked the cookie .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; cookie ( 25 ) ; bake ( 30 ) AND agent ( 30 , 12 ) AND theme ( 30 , 25 )
63	A sailor baked a cake .	obj_omitted_transitive_to_transitive	sailor ( 12 ) ; cake ( 25 ) ; bake ( 34 ) AND agent ( 34 , 12 ) AND theme ( 34 , 25 )
64	Jackson baked Jayden .	obj_omitted_transitive_to_transitive	Jackson ( 12 ) ; Jayden ( 25 ) ; bake ( 34 ) AND agent ( 34 , 12 ) AND theme ( 34 , 25 )
65	Liam baked a girl on a table .	obj_omitted_transitive_to_transitive	Liam ( 12 ) ; girl ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . on ( 34 , 27 )
66	Emma baked Christopher .	obj_omitted_transitive_to_transitive	Emma ( 10 ) ; Christopher ( 24 ) ; bake ( 36 ) AND agent ( 36 , 10 ) AND theme ( 36 , 24 )
67	The cat baked the frog on the table .	obj_omitted_transitive_to_transitive	* cat ( 12 ) ; * frog ( 27 ) ; * table ( 34 ) ; nmod . on ( 27 , 34 ) AND bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 27 )
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 10 ) ; * drink ( 24 ) ; * stool ( 38 ) ; nmod . beside ( 24 , 38 ) AND bake ( 15 ) AND agent ( 15 , 10 ) AND theme ( 15 , 24 )
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 10 ) ; Hannah ( 24 ) ; bake ( 36 ) AND agent ( 36 , 10 ) AND theme ( 36 , 24 )
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 12 ) ; * tool ( 29 ) ; * table ( 36 ) ; nmod . beside ( 29 , 36 ) AND bake ( 45 ) AND agent ( 45 , 12 ) AND theme ( 45 , 29 )
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	A girl ( 12 ) ; * boy ( 34 ) ; * trap ( 19 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 ) AND nmod . in ( 34 , 19 )
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	girl ( 12 ) ; patient ( 29 ) ; donut ( 34 ) ; windowsill ( 40 ) ; like ( 5 ) AND agent ( 5 , 12 ) AND ccomp ( 5 , 18 ) AND bake ( 18 ) AND theme ( 18 , 34 ) AND agent ( 18 , 29 ) AND nmod . on ( 34 , 40 )
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 12 ) ; teacher ( 25 ) ; boy ( 34 ) ; hope ( 8 ) AND agent ( 8 , 12 ) AND ccomp ( 8 , 19 ) AND bake ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 25 )
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 12 ) ; Liam ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	frog ( 22 ) ; cake ( 5 ) ; bake ( 36 ) AND agent ( 36 , 22 ) AND theme ( 36 , 5 )
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 10 ) ; * donut ( 46 ) ; * table ( 29 ) ; nmod . beside ( 46 , 29 ) AND bake ( 12 ) AND agent ( 12 , 10 ) AND theme ( 12 , 46 )
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 12 ) ; Emma ( 34 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 )
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	president ( 12 ) ; cake ( 25 ) ; * vehicle ( 34 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 25 ) AND nmod . in ( 25 , 34 )
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	spokesman ( 12 ) ; pig ( 29 ) ; bake ( 45 ) AND agent ( 45 , 12 ) AND theme ( 45 , 29 )
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 29 ) ; machine ( 12 ) ; lion ( 34 ) ; * box ( 46 ) ; nmod . beside ( 29 , 12 ) AND throw ( 18 ) AND theme ( 18 , 29 ) AND agent ( 18 , 34 ) AND nmod . on ( 29 , 46 )
